Customer_ID,Customer_Name,Customer_Surname,Product_ID,Product_Name,Product_Price,QTY,Store_ID,Store Name,Region,Product_Main_Category,Product_Sub_Category,Purchase_Date,Sales_Rep_ID
449,Cassandra,Mcguire,71,Tanqueray,17,1,9,Lombardy Store,New Mexico,Drinks,Promotions,2021/02/02,82
276,Violet,Nicholls,81,Duvel Golden Ale,20,1,1,Boardwalk Store,West Virginia,Drinks,Standard,2021/03/12,6
367,Martin,Cann,157,House-cleaning products,18,4,1,Boardwalk Store,West Virginia,Products,Standard,2021/03/19,3
59,Bob,Lambert,83,Smirnoff,20,2,10,Faerie Glen Store,Mississippi,Drinks,New Releases,2021/03/21,96
198,Luke,Radley,44,Bud Light,11,2,6,Lynnwood Store,Mississippi,Drinks,Standard,2021/09/02,57
354,Matt,Ebbs,160,Pet foods,11,4,1,Boardwalk Store,West Virginia,Products,Standard,2021/09/08,1
333,Jack,Upsdell,114,Sweets,12,1,3,Brummeria Store,Mississippi,Products,New Releases,2021/09/07,30
57,Martha,Slater,96,Blue Moon,4,2,8,Equestria Store,West Virginia,Drinks,Standard,2021/01/28,79
320,Georgia,Hancock,128,Coffee,10,2,7,NewlandsStore,South Carolina,Products,Standard,2021/03/20,67
71,Susan,Parsons,66,Agua Vida,15,5,6,Lynnwood Store,Mississippi,Drinks,Promotions,2021/06/08,54
83,Brad,Drew,84,Strongbow,17,3,8,Equestria Store,West Virginia,Drinks,New Releases,2021/06/03,80
424,Dalia,Daniells,16,Kool-Aid,12,5,8,Equestria Store,West Virginia,Drinks,Standard,2021/07/16,74
492,Paula,Young,100,Grolsch,2,2,1,Boardwalk Store,West Virginia,Products,Standard,2021/03/31,9
400,Peter,Wilkinson,80,Yanjing,20,1,3,Brummeria Store,Mississippi,Drinks,Standard,2021/01/15,30
479,Barney,Clark,195,Fruits,11,2,9,Lombardy Store,New Mexico,Products,Standard,2021/06/21,85
101,Sofie,Hogg,61,Absolut,6,1,1,Boardwalk Store,West Virginia,Drinks,New Releases,2021/05/08,5
457,William,Hopkins,159,Baby-care,7,5,8,Equestria Store,West Virginia,Products,Standard,2021/05/13,78
242,Denis,Beal,80,Yanjing,20,2,6,Lynnwood Store,Mississippi,Drinks,Standard,2021/04/12,58
238,Alan,Nielson,102,Toys,9,1,9,Lombardy Store,New Mexico,Products,Promotions,2021/02/28,86
415,Lynn,Adams,41,Blue Moon,14,5,7,NewlandsStore,South Carolina,Drinks,Standard,2021/07/06,62
194,Denny,Townend,25,Prigat,13,3,6,Lynnwood Store,Mississippi,Drinks,Standard,2021/09/30,60
330,Lucas,Ventura,81,Duvel Golden Ale,20,3,8,Equestria Store,West Virginia,Drinks,Standard,2021/05/20,76
354,Matt,Ebbs,153,Mustard,10,3,4,Clearwater  Store,Massachussets,Products,Promotions,2021/02/16,37
183,Raquel,Wilkinson,101,Mustard,16,1,8,Equestria Store,West Virginia,Products,Promotions,2021/10/01,80
37,Kurt,Cooper,37,Bud Light,17,4,3,Brummeria Store,Mississippi,Drinks,Promotions,2021/05/01,26
354,Matt,Ebbs,6,Agua Vida,3,3,2,Glenwood Store,New Mexico,Drinks,Promotions,2021/08/29,12
200,Tania,Becker,192,Dry Goods,10,4,5,Hazeldean Store Store,Maine,Products,New Releases,2021/03/02,48
127,Henry,Walsh,89,Corona,6,1,10,Faerie Glen Store,Mississippi,Drinks,New Releases,2021/05/15,98
60,Denis,Lloyd,184,Frozen foods,19,1,9,Lombardy Store,New Mexico,Products,New Releases,2021/04/29,90
51,Wade,Blackburn,22,Keystone Light,11,5,1,Boardwalk Store,West Virginia,Drinks,New Releases,2021/08/17,4
35,Jack,Hogg,191,Baby-care,3,2,3,Brummeria Store,Mississippi,Products,New Releases,2021/01/21,28
84,Carter,Yoman,21,Absolut,20,2,9,Lombardy Store,New Mexico,Drinks,New Releases,2021/03/03,87
323,Chris,Downing,78,Martell,14,3,6,Lynnwood Store,Mississippi,Drinks,Standard,2021/03/24,52
65,Gina,Sherry,4,Blue Moon,9,5,7,NewlandsStore,South Carolina,Drinks,Promotions,2021/09/14,61
190,Lucy,Leigh,7,SunnyD,3,1,1,Boardwalk Store,West Virginia,Drinks,Promotions,2021/03/31,9
394,Jaylene,Rowan,8,Keystone Light,18,4,7,NewlandsStore,South Carolina,Drinks,Promotions,2021/08/02,68
74,Skylar,Malone,9,Hennessy,14,5,3,Brummeria Store,Mississippi,Drinks,Promotions,2021/03/18,29
31,Doug,Chester,6,Agua Vida,3,3,9,Lombardy Store,New Mexico,Drinks,Promotions,2021/05/30,86
255,Michael,Mcnally,51,Tsingtao,10,5,2,Glenwood Store,New Mexico,Drinks,Standard,2021/01/07,13
470,Gina,Durrant,58,Absolut,16,3,8,Equestria Store,West Virginia,Drinks,New Releases,2021/05/12,74
93,Sonya,Torres,37,Bud Light,17,2,3,Brummeria Store,Mississippi,Drinks,Promotions,2021/06/05,23
488,Chester,Jarvis,179,Decorations,8,4,2,Glenwood Store,New Mexico,Products,Standard,2021/09/10,19
299,Enoch,Fields,17,Icehouse,12,5,5,Hazeldean Store Store,Maine,Drinks,Standard,2021/09/20,43
56,Jasmine,Porter,186,Coffee,18,3,6,Lynnwood Store,Mississippi,Products,New Releases,2021/10/06,51
305,Michael,Lloyd,34,Evian,18,2,10,Faerie Glen Store,Mississippi,Drinks,Promotions,2021/05/10,96
279,Mark,Gibbons,176,Tea,20,4,2,Glenwood Store,New Mexico,Products,Promotions,2021/08/05,11
177,Marissa,Norburn,19,Grolsch,19,2,8,Equestria Store,West Virginia,Drinks,New Releases,2021/01/20,78
180,George,Locke,27,Corona,3,5,8,Equestria Store,West Virginia,Drinks,Standard,2021/02/16,71
303,Eryn,Taylor,131,Diet foods,3,5,1,Boardwalk Store,West Virginia,Products,Standard,2021/08/23,1
22,Cedrick,Saunders,70,Frooti,10,5,8,Equestria Store,West Virginia,Drinks,Promotions,2021/07/31,78
28,Henry,Weldon,192,Dry Goods,10,5,6,Lynnwood Store,Mississippi,Products,New Releases,2021/09/25,53
66,Violet,Cowan,179,Decorations,8,5,10,Faerie Glen Store,Mississippi,Products,Standard,2021/01/10,91
253,Adelaide,Edwards,116,Flour,17,5,7,NewlandsStore,South Carolina,Products,Standard,2021/04/09,66
121,Bethany,Roth,119,Seafood,2,3,10,Faerie Glen Store,Mississippi,Products,Promotions,2021/03/06,91
195,Carter,Stone,57,Coca Cola,10,3,7,NewlandsStore,South Carolina,Drinks,New Releases,2021/07/27,66
342,Maxwell,Ellison,124,Dairy,10,5,3,Brummeria Store,Mississippi,Products,Promotions,2021/06/16,25
168,Dasha,Andersson,70,Frooti,10,1,4,Clearwater  Store,Massachussets,Drinks,Promotions,2021/04/12,39
195,Carter,Stone,147,Dry Goods,9,2,9,Lombardy Store,New Mexico,Products,Standard,2021/10/07,87
63,Michaela,Khan,133,Personal Care,17,1,6,Lynnwood Store,Mississippi,Products,Standard,2021/08/11,54
227,Kenzie,Torres,28,Hennessy,6,5,5,Hazeldean Store Store,Maine,Drinks,Standard,2021/02/27,41
123,Colleen,Booth,112,Sauces,20,3,9,Lombardy Store,New Mexico,Products,Standard,2021/05/21,86
387,Kimberly,Gilmore,115,Meat,4,3,8,Equestria Store,West Virginia,Products,New Releases,2021/08/31,71
36,Elise,Moreno,140,Tomato sauce,7,5,2,Glenwood Store,New Mexico,Products,Standard,2021/09/02,17
164,Bernadette,Wellington,182,House-cleaning products,7,1,5,Hazeldean Store Store,Maine,Products,Standard,2021/09/25,46
181,Tania,Cattell,145,Medicines,6,3,5,Hazeldean Store Store,Maine,Products,New Releases,2021/09/29,48
213,Hayden,Dixon,129,Candies,8,3,9,Lombardy Store,New Mexico,Products,Standard,2021/03/19,87
347,Bryon,Preston,188,Canned Goods,3,2,8,Equestria Store,West Virginia,Products,New Releases,2021/04/02,74
21,Marissa,Truscott,184,Frozen foods,19,4,3,Brummeria Store,Mississippi,Products,New Releases,2021/09/21,22
478,Kieth,Lane,109,House-cleaning products,7,3,7,NewlandsStore,South Carolina,Products,Standard,2021/01/31,63
189,Alan,Haines,177,Dairy,17,2,7,NewlandsStore,South Carolina,Products,Promotions,2021/09/16,64
31,Doug,Chester,84,Strongbow,17,3,10,Faerie Glen Store,Mississippi,Drinks,New Releases,2021/01/21,96
177,Marissa,Norburn,25,Prigat,13,2,10,Faerie Glen Store,Mississippi,Drinks,Standard,2021/09/04,100
443,Goldie,Cox,186,Coffee,18,1,9,Lombardy Store,New Mexico,Products,New Releases,2021/05/23,87
38,Brad,Truscott,87,Tanqueray,15,2,4,Clearwater  Store,Massachussets,Drinks,New Releases,2021/05/05,31
485,Lorraine,Ellis,140,Tomato sauce,7,2,7,NewlandsStore,South Carolina,Products,Standard,2021/02/18,64
295,Sebastian,Gosling,16,Kool-Aid,12,1,2,Glenwood Store,New Mexico,Drinks,Standard,2021/01/20,16
290,Fred,Upsdell,5,Bacardi,19,5,9,Lombardy Store,New Mexico,Drinks,Promotions,2021/08/06,87
219,Winnie,Talbot,123,Housewares,15,4,7,NewlandsStore,South Carolina,Products,Promotions,2021/04/06,61
